id,code,nom,nom_norm,lon,lat,epci_id,epci_nom,bassin_vie_id,bassin_vie_nom,zone_emploi_id,zone_emploi_nom,arr_dept_id,arr_dept_nom,dept_id,date,type,parent,date_debut,date_fin,old_type,old_nom,old_nom_norm,old_date_fin
29212,29212,Plouzané,PLOUZANE,-4.593197649224926,48.37412444662821,242900314,Brest Métropole,29019,Brest,5302,Brest,291,Brest,29,2025-06-26 23:12:07.91292,,,1943-01-01,,,,,
29213,29213,Plouzévédé,PLOUZEVEDE,-4.095747337638336,48.592445463156736,242900751,Communauté de communes du Pays de Landivisiau,29105,Landivisiau,5310,Morlaix,293,Morlaix,29,2025-06-26 23:11:58.606663,,,1943-01-01,,,,,
29215,29215,Plozévet,PLOZEVET,-4.409599499305634,47.982894002429724,242900710,Communauté de communes du Haut Pays Bigouden,29197,Plouhinec,5313,Quimper,294,Quimper,29,2025-06-26 23:12:45.890912,,,1943-01-01,,,,,
29216,29216,Pluguffan,PLUGUFFAN,-4.187522957162772,47.97220417798953,200068120,Communauté d'agglomération Quimper Bretagne Occidentale,29232,Quimper,5313,Quimper,294,Quimper,29,2025-06-26 23:12:28.777516,,,1943-01-01,,,,,
29217,29217,Pont-Aven,PONT AVEN,-3.7657276429003077,47.87221332578591,242900769,Communauté d'agglomération Concarneau Cornouaille Agglomération,29039,Concarneau,5313,Quimper,294,Quimper,29,2025-06-26 23:12:27.095432,,,1943-01-01,,,,,
29220,29220,Pont-l'Abbé,PONT L ABBE,-4.221150741152254,47.863665743732604,242900702,Communauté de communes du Pays Bigouden Sud,29220,Pont-l'Abbé,5313,Quimper,294,Quimper,29,2025-06-26 23:12:02.15266,,,1943-01-01,,,,,
29221,29221,Porspoder,PORSPODER,-4.754122702226759,48.498453285957126,242900074,Communauté de communes du Pays d'Iroise,29178,Ploudalmézeau,5302,Brest,291,Brest,29,2025-06-26 23:12:23.584962,,,1943-01-01,,,,,
29222,29222,Port-Launay,PORT LAUNAY,-4.081898996804669,48.217808611283,200067247,Communauté de communes Pleyben-Châteaulin-Porzay,29026,Châteaulin,5302,Brest,292,Châteaulin,29,2025-06-26 23:12:23.585962,,,1943-01-01,,,,,
29224,29224,Pouldergat,POULDERGAT,-4.32654060758025,48.040156361261104,242900645,Communauté de communes Douarnenez Communauté,29046,Douarnenez,5313,Quimper,294,Quimper,29,2025-06-26 23:12:37.404541,,,1943-01-01,,,,,
29225,29225,Pouldreuzic,POULDREUZIC,-4.363858033250858,47.96116226588465,242900710,Communauté de communes du Haut Pays Bigouden,29197,Plouhinec,5313,Quimper,294,Quimper,29,2025-06-26 23:12:24.627553,,,1943-01-01,,,,,
29226,29226,Poullan-sur-Mer,POULLAN SUR MER,-4.397634796032018,48.07707384053896,242900645,Communauté de communes Douarnenez Communauté,29046,Douarnenez,5313,Quimper,294,Quimper,29,2025-06-26 23:12:23.587961,,,1943-01-01,,,,,
29227,29227,Poullaouen,POULLAOUEN,-3.643646538981921,48.34787567834887,242900744,Communauté de communes Poher communauté,29024,Carhaix-Plouguer,5303,Carhaix-Plouguer,292,Châteaulin,29,2025-06-26 23:12:07.914933,,,1943-01-01,,,,,
29228,29228,Primelin,PRIMELIN,-4.605241337607474,48.028984455008676,242900629,Communauté de communes Cap Sizun - Pointe du Raz,29197,Plouhinec,5313,Quimper,294,Quimper,29,2025-06-26 23:13:05.36704,,,1943-01-01,,,,,
29229,29229,Quéménéven,QUEMENEVEN,-4.143923897514265,48.11806493519541,200068120,Communauté d'agglomération Quimper Bretagne Occidentale,29026,Châteaulin,5313,Quimper,294,Quimper,29,2025-06-26 23:12:59.84834,,,1943-01-01,,,,,
29230,29230,Querrien,QUERRIEN,-3.5475392020192347,47.955433033239146,242900694,Communauté d'agglomération Quimperlé Communauté,56057,Le Faouët,5314,Quimperlé,294,Quimper,29,2025-06-26 23:12:48.93494,,,1943-01-01,,,,,
