id,code,nom,nom_norm,lon,lat,is_irisee,arrondissement_code,arrondissement_nom,type,grd_quart_code,grd_quart_nom,in_ctu,commune_id,date,is_main
593780301,593780301,Croisé Laroche,CROISE LAROCHE,3.1066591173074807,50.66536063665089,t,59378,Marcq-en-Barœul,A,5937803,Rouges Barres,f,59378,2025-06-26 23:18:19.445987,f
593780501,593780501,Hautes loges,HAUTES LOGES,3.086361845810234,50.67033380342804,t,59378,Marcq-en-Barœul,A,5937805,Hippodrome,f,59378,2025-06-26 23:18:19.447604,f
593780701,593780701,Bourg Saint-Vincent,BOURG SAINT VINCENT,3.0874500723278597,50.67882601700788,t,59378,Marcq-en-Barœul,A,5937807,Bourg,f,59378,2025-06-26 23:18:19.447604,f
595080201,595080201,Vallée Blanc Four 1,VALLEE BLANC FOUR 1,3.1078038911654304,50.74330630781727,t,59508,Roncq,A,5950802,Vallée-Blanc Four,f,59508,2025-06-26 23:18:19.456383,f
592710601,592710601,Moulin,MOULIN,2.3050540383265776,51.01171669352255,t,59271,Grande-Synthe,A,5927106,Moulin-Basroch,f,59271,2025-06-26 23:18:19.431987,t
592790103,592790103,Le Colbras,LE COLBRAS,3.10468480580782,50.76787452999485,t,59279,Halluin,D,5927901,Molinel Colbras,f,59279,2025-06-26 23:18:19.433987,f
592950101,592950101,Hazebrouck 1,HAZEBROUCK 1,2.5308082304395696,50.72603604325731,t,59295,Hazebrouck,A,5929501,Hazebrouck,f,59295,2025-06-26 23:18:19.434987,t
592950104,592950104,Hazebrouck 4,HAZEBROUCK 4,2.5274359691383674,50.71228391186628,t,59295,Hazebrouck,A,5929501,Hazebrouck,f,59295,2025-06-26 23:18:19.435983,f
594100101,594100101,Le Barœul,LE BAROEUL,3.104433664183899,50.648082028712984,t,59410,Mons-en-Barœul,A,5941001,Haut Mons,f,59410,2025-06-26 23:18:19.452384,f
592750000,592750000,Gruson,GRUSON,3.215763273667232,50.59218011522983,f,59275,Gruson,C,5927500,,f,59275,2025-06-26 23:18:19.432984,t
594840102,594840102,Nord-Ouest,NORD OUEST,3.6574452035633223,50.394224373398664,t,59484,Quiévrechain,A,5948401,Quiévrechain,f,59484,2025-06-26 23:18:19.453384,t
613360000,613360000,Pouvrai,POUVRAI,0.5196259214432438,48.27989438252413,f,61336,Pouvrai,C,6133600,,f,61336,2025-06-26 23:18:19.503169,t
610340000,610340000,Beaulieu,BEAULIEU,0.7363741729252716,48.680268501100684,f,61034,Beaulieu,C,6103400,,f,61034,2025-06-26 23:18:19.49213,t
601750101,601750101,Rive Gauche,RIVE GAUCHE,2.470771572152281,49.25701307697429,t,60175,Creil,A,6017501,Bas de Creil,f,60175,2025-06-26 23:18:19.469401,f
602490000,602490000,Foulangues,FOULANGUES,2.313956498403103,49.27670246380896,f,60249,Foulangues,C,6024900,,f,60249,2025-06-26 23:18:19.474398,t
601940000,601940000,Dargies,DARGIES,1.9814125739751731,49.69892358307675,f,60194,Dargies,C,6019400,,f,60194,2025-06-26 23:18:19.472403,t
604240000,604240000,Montmartin,MONTMARTIN,2.6966922836750102,49.466038069806984,f,60424,Montmartin,C,6042400,,f,60424,2025-06-26 23:18:19.480402,t
611680201,611680201,Antoigny,ANTOIGNY,-0.3643939850444902,48.528016321976324,t,61168,La Ferté Macé,A,6116802,Antoigny,f,61168,2025-06-26 23:18:19.497144,f
603020000,603020000,Haudivillers,HAUDIVILLERS,2.2417833102433065,49.4865190009433,f,60302,Haudivillers,C,6030200,,f,60302,2025-06-26 23:18:19.476399,t
601180000,601180000,Caisnes,CAISNES,3.0651345216212205,49.52021435616461,f,60118,Caisnes,C,6011800,,f,60118,2025-06-26 23:18:19.465394,t
614120000,614120000,Saint-Julien-sur-Sarthe,SAINT JULIEN SUR SARTHE,0.37361607156853494,48.48975627251143,f,61412,Saint-Julien-sur-Sarthe,C,6141200,,f,61412,2025-06-26 23:18:19.506155,t
611600000,611600000,Feings,FEINGS,0.6490155339259247,48.54346624853801,f,61160,Feings,C,6116000,,f,61160,2025-06-26 23:18:19.496022,t
604320000,604320000,Mortefontaine,MORTEFONTAINE,2.607963241451632,49.120610099305466,f,60432,Mortefontaine,C,6043200,,f,60432,2025-06-26 23:18:19.481592,t
610950000,610950000,La Chapelle-Biche,LA CHAPELLE BICHE,-0.6221201777373668,48.712853067564055,f,61095,La Chapelle-Biche,C,6109500,,f,61095,2025-06-26 23:18:19.494137,t
596500104,596500104,Mousserie 2,MOUSSERIE 2,3.1861957665873084,50.711011252045786,t,59650,Wattrelos,A,5965001,Union-Sapin Vert-Mousserie,f,59650,2025-06-26 23:18:19.461549,f
604390101,604390101,Ouest,OUEST,2.2961297362891875,49.318726918061216,t,60439,Mouy,A,6043901,Mouy-Grand Quartier 1,f,60439,2025-06-26 23:18:19.482596,t
613040000,613040000,Neuilly-le-Bisson,NEUILLY LE BISSON,0.2194089336300415,48.504774968857305,f,61304,Neuilly-le-Bisson,C,6130400,,f,61304,2025-06-26 23:18:19.500153,t
601591701,601591701,ZAC de Mercière,ZAC DE MERCIERE,2.7886670764401402,49.38922464922313,t,60159,Compiègne,C,6015917,Z.A.C. de Mercières,f,60159,2025-06-26 23:18:19.469401,f
600990000,600990000,Braisnes-sur-Aronde,BRAISNES SUR ARONDE,2.7733636095564607,49.47686874579105,f,60099,Braisnes-sur-Aronde,C,6009900,,f,60099,2025-06-26 23:18:19.463556,t
601870000,601870000,Cuigy-en-Bray,CUIGY EN BRAY,1.8349793372423597,49.432062028966186,f,60187,Cuigy-en-Bray,C,6018700,,f,60187,2025-06-26 23:18:19.471403,t
606980000,606980000,Wacquemoulin,WACQUEMOULIN,2.6215373518021514,49.508781016685916,f,60698,Wacquemoulin,C,6069800,,f,60698,2025-06-26 23:18:19.490627,t
606780000,606780000,Villeneuve-les-Sablons,VILLENEUVE LES SABLONS,2.0739510406758717,49.23317651915142,f,60678,Villeneuve-les-Sablons,C,6067800,,f,60678,2025-06-26 23:18:19.489618,t
595470000,595470000,Saint-Vaast-en-Cambrésis,SAINT VAAST EN CAMBRESIS,3.434847084102124,50.19428037131434,f,59547,Saint-Vaast-en-Cambrésis,C,5954700,,f,59547,2025-06-26 23:18:19.457385,t
601430000,601430000,Chaumont-en-Vexin,CHAUMONT EN VEXIN,1.8821011862033643,49.27329591095437,f,60143,Chaumont-en-Vexin,C,6014300,,f,60143,2025-06-26 23:18:19.466403,t
614760000,614760000,Suré,SURE,0.4068245692912861,48.3692501553037,f,61476,Suré,C,6147600,,f,61476,2025-06-26 23:18:19.510155,t
595710101,595710101,Ouest,OUEST,3.48522565109657,50.17761636495085,t,59571,Solesmes,A,5957101,Solesmes,f,59571,2025-06-26 23:18:19.459394,t
610720000,610720000,Canapville,CANAPVILLE,0.25719313220987844,48.94929079963253,f,61072,Canapville,C,6107200,,f,61072,2025-06-26 23:18:19.493137,t
